t_ms,code,microstrain
2360.401,-115806,0.37
2363.432,-115646,0.65
2366.462,-115152,1.52
2369.492,-115829,0.33
2372.523,-116391,-0.66
2375.553,-116015,0.00
2378.583,-116195,-0.32
2381.930,-115502,0.91
2384.960,-117109,-1.93
2387.991,-116322,-0.54
2391.021,-115764,0.44
2394.051,-116692,-1.20
2397.082,-116408,-0.69
2400.112,-115942,0.13
2403.142,-115345,1.18
2406.494,-116268,-0.45
2409.524,-115962,0.09
2412.555,-115930,0.15
2415.585,-116088,-0.13
2418.615,-116672,-1.16
2421.646,-116105,-0.16
2424.676,-115571,0.78
2427.706,-115741,0.48
2431.047,-115708,0.54
2434.077,-116799,-1.38
2437.108,-116132,-0.21
2440.138,-116212,-0.35
2443.168,-115998,0.03
2446.199,-115882,0.24
2449.229,-115880,0.24
2452.259,-116375,-0.64
2455.603,-115935,0.14
2458.633,-115984,0.05
2461.664,-115462,0.98
2464.694,-115792,0.39
2467.724,-115128,1.57
2470.755,-116076,-0.11
2473.785,-116475,-0.81
2476.815,-116388,-0.66
2480.158,-115818,0.35
2483.188,-116244,-0.40
2486.219,-115535,0.85
2489.249,-115709,0.54
2492.279,-116296,-0.50
2495.310,-116029,-0.02
2498.340,-116273,-0.46
2501.370,-115908,0.19
2504.718,-115989,0.05
2507.748,-115965,0.09
2510.779,-115938,0.14
2513.809,-115958,0.10
2516.839,-115994,0.04
2519.870,-115811,0.36
2522.900,-115964,0.09
2525.930,-115071,1.67
2529.274,-116270,-0.45
2532.304,-115938,0.14
2535.335,-115806,0.37
2538.365,-115787,0.40
2541.395,-115468,0.97
2544.426,-115962,0.09
2547.456,-115546,0.83
2550.486,-115815,0.35
2553.823,-116659,-1.14
2556.853,-116235,-0.39
2559.884,-116040,-0.04
2562.914,-115935,0.14
2565.944,-115718,0.52
2568.975,-115900,0.20
2572.005,-115930,0.15
2575.035,-116023,-0.01
2578.377,-117141,-1.99
2581.407,-116265,-0.44
2584.438,-115898,0.21
2587.468,-115143,1.54
2590.498,-115920,0.17
2593.529,-116292,-0.49
2596.559,-116132,-0.21
2599.589,-115959,0.10
2602.933,-115715,0.53
2605.963,-115740,0.49
2608.994,-115737,0.49
2612.024,-115828,0.33
2615.054,-115911,0.18
2618.085,-116250,-0.41
2621.115,-115827,0.33
2624.145,-115671,0.61
2627.489,-115726,0.51
2630.519,-115384,1.11
2633.550,-116297,-0.50
2636.580,-116483,-0.83
2639.610,-116321,-0.54
2642.641,-115869,0.26
2645.671,-115763,0.45
2648.701,-115212,1.42
2652.045,-116328,-0.55
2655.075,-116154,-0.25
2658.106,-116192,-0.31
2661.136,-116024,-0.02
2664.166,-115644,0.66
2667.197,-115447,1.00
2670.227,-115638,0.67
2673.257,-116137,-0.22
2676.610,-117248,-2.18
2679.640,-116633,-1.09
2682.671,-115869,0.26
2685.701,-115956,0.10
2688.731,-115640,0.66
2691.762,-115912,0.18
2694.792,-116305,-0.51
2697.822,-116125,-0.19
2701.168,-116703,-1.21
2704.198,-115958,0.10
2707.229,-115557,0.81
2710.259,-115779,0.42
2713.289,-116024,-0.02
2716.320,-116284,-0.47
2719.350,-115925,0.16
2722.380,-115921,0.17
2725.722,-115498,0.91
2728.752,-116168,-0.27
2731.783,-115612,0.71
2734.813,-115929,0.15
2737.843,-115950,0.11
2740.874,-115990,0.04
2743.904,-116025,-0.02
2746.934,-114976,1.83
2750.279,-116193,-0.31
2753.309,-115850,0.29
2756.340,-116253,-0.42
